147,75,38,198,112,0
147,177,4,297,72,0
147,345,4,463,72,0
147,444,36,561,107,0
147,446,111,583,180,0
147,409,183,529,261,0
147,262,209,383,294,0
147,108,180,259,253,0
147,60,112,208,176,0
84,91,70,161,83,1
84,195,35,256,48,1
84,388,34,452,49,1
84,480,68,550,82,1
84,500,139,574,154,1
84,449,215,524,229,1
84,271,249,343,261,1
84,117,214,189,229,1
84,70,142,140,155,1
84,92,84,156,99,2
84,191,50,244,62,2
84,385,50,447,64,2
84,481,84,544,100,2
84,500,156,565,170,2
84,447,229,512,245,2
84,273,262,336,276,2
84,123,229,183,246,2
84,74,157,132,170,2
